Project Number,Project Name,Full Address,Latitude,Longitude,Legal Description,Project Manager,Project Status
RS19669,"Whangarei District Council - 2088 Whangarei Heads Road, Whangarei","2088 Whangarei Heads Road, Whangārei Heads, Whangārei Heads, 0174, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19668,"Kaiikanui Hills Ltd (Reyburn & Bryant) - Peach Orchard Road & Russell Road, Hikurangi","21 & 27 Peach Orchard Road, Whakapara, Whakapara, 0184, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19667,Easy Build - 831 Whareora Road,"831 Whareora Road, Whareora, Whareora, 0175, New Zealand",0.0,0.0,,Ariel Tudor,Proposal
RS19666,Slavich - 64 HATEA DRIVE,"64 Hatea Drive, Regent, Whangārei, 0112, New Zealand",-35.712982,174.325943,,Rachel Wright,Active
RS19665,Sandy Bottom Trust - 23 Percy Street,"23 Percy Street, Kensington, Whangārei, 0112, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19664,GJ Gardner - 37a Manawa Drive,"37A Manawa Drive, Ngunguru, 0173, New Zealand",-35.634517,174.495682,,Codie Hay,Proposal
RS19663,GJ Gardner - 45 Kitemaunga Avenue,"Kitemaunga Avenue, Whangarei, 0118, New Zealand",-35.827304,174.457733,,Codie Hay,Active
RS19662,GJ Gardner - 8 Kakariki Road  Ngunguru Retirement Village,"8 Kakariki Road (lot 25), Ngunguru, 0173, New Zealand",0.0,0.0,,Codie Hay,Active
RS19661,"Drewery - 9 Powells Road, Cable Bay","9 Powells Road, Cable Bay, 0420, New Zealand",-34.991676,173.494522,,Codie Hay,Proposal
RS19660,Contag - 59 Taumatawiwi Street,"59 Taumatawiwi Street, Opononi, Opononi, 0473, New Zealand",-35.514236,173.391159,,David Platt,Active
RS19659,Pauline Oneill - 73 Sherwood Road Onerahi,"73 Sherwood Road, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19658,Kerikeri Holdings - 9 Hobson Ave,"9 Hobson Avenue, Kerikeri, 0230, New Zealand",-35.22963,173.948212,,Matthew Hargood,Proposal
RS19657,Leathem - Rarotonga,"VAITAPU Pt Sec 32J3, Turoa, TAKITUMU, 682, Rarotonga",-21.264257,-159.771881,,Rachel Wright,Active
RS19656,"SW Engineering - 11 Norfolk Ave, Reotahi","11 Norfolk Avenue, Whangārei Heads, Whangārei Heads, 0174, New Zealand",0.0,0.0,,Ariel Tudor,Proposal
RS19655,"A & C Zazulak - 437 Whangarei Heads Road, Tamaterau","437 Whangarei Heads Road, Tamaterau, Tamaterau, 0174, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19654,Signature Homes - 229 One Tree Point Road,"229 One Tree Point Road, One Tree Point, One Tree Point, 0118, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19653,"Billy Garton (Arco Group) - 39 Rock Ridge Road, Kamo, Whangarei","39 Rock Ridge Drive, Te Kamo, Whangārei, 0112, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19652,Lendrigan - 25 Seamore Rise,"25 Seamore Rise, Waipu, Waipu, 0582, New Zealand",0.0,0.0,,Liam Crawford,Proposal
RS19651,Retaining Wall Assessment - 17 Heather St,"17 Heather Street, Mangawhai Heads, Mangawhai, 0505, New Zealand",0.0,0.0,,Logan Holt,Proposal
RS19650,Wright - 44 Kiteone Rd,"44 Kiteone Road, Parua Bay, Parua Bay, 0174, New Zealand",0.0,0.0,,Liam Crawford,Active
RS19649,R+J - McAulay Construction - 9 Brighton Road,"9 Brighton Road, Kensington, Whangārei, 0112, New Zealand",-35.708057,174.327286,,Harry Lee,Proposal
RS19648,"Classic Builders - 1 Arrondi Terrace, Kotata","1 Arrondi Terrace, Port Whangārei, Whangārei, 0110, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19647,"Simon and Jacki - 12 Moir Point Road, Mangawhai","12 Moir Point Road, Mangawhai Heads, Mangawhai, 0505, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19646,"Whangarei Quarry Gardens - 37a Russell Road, Whangārei","37A Russell Road, Kensington, Whangārei, 0112, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19645,Haigh Developments - 22 & 24 Keyte Street,"22 & 24 Keyte Street, Kensington, Whangārei, 0112, New Zealand",0.0,0.0,,Ariel Tudor,Proposal
RS19644,Hargood - 1 Sylvia Lane,"1 Sylvia Lane, Maunu, Whangārei, 0110, New Zealand",-35.752464,174.275223,,Matthew Hargood,Proposal
RS19643,"Clare McGlynn - 40 Seaview Road, Paihia","40 Seaview Road, Paihia, Paihia, 0200, New Zealand",-35.28924,174.096024,,Matthew Hargood,Proposal
RS19642,"Simon Mandeno (Mandeno Design Ltd) - 20 Te Arapuke Way, Ngunguru","20 Te Arapuke Way, Ngunguru, Ngunguru, 0173, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19641,"Ashlee Crane - 218 Mine Road, Whakapara","218 Mine Road, Whakapara, Whakapara, 0182, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19640,"Mark Haines and Karma Butler (Reyburn and Bryant) - 54 Mangakino Lane, Kauri","54 Mangakino Lane, Kauri, Kauri, 0185, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19639,Clancey - 31 Halo Rise,"31 Halo Rise, Whareora, Whangarei, 0175, New Zealand",-35.703075,174.347382,,Matthew Hargood,Proposal
RS19638,"John + Janice Turner - 6 Marlin Drive, Taupo Bay","6 Marlin Drive, Taupō Bay, Taupō Bay, 0494, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19637,"Easy Build - 14 Cullen Road, Waipu","14 Cullen Road, Waipu, Waipu, 0582, New Zealand",0.0,0.0,,Ariel Tudor,Proposal
RS19636,Chan - 59b Jack Boyd Drive,"59B Jack Boyd Drive, Mangawhai Heads, Mangawhai, 0573, New Zealand",0.0,0.0,,Logan Holt,Active
RS19635,Northland Masonic Villages - 87 Hokianga Road,"87 Hokianga Road, Dargaville, Dargaville, 0310, New Zealand",-35.93649,173.863358,,David Platt,Proposal
RS19634,"D Mungo - 15 Takahe St, Tikipunga","15 Takahe Street, Tikipunga, Whangārei, 0112, New Zealand",0.0,0.0,,Liam Crawford,Active
RS19633,Bream Bay College - Music Block Extension,"2 Peter Snell Road, Ruakākā, Ruakākā, 0116, New Zealand",0.0,0.0,,Liam Crawford,Active
RS17897,Denly - 5 Horizon View Place,"5 Horizon View Place, Mangawhai Heads, Mangawhai, 0505, New Zealand",-36.114635,174.59079,,David Platt,Active
RS19631,Easy Build - 119 Webb Road,"119 Webb Road, Helena Bay, Helena Bay, 0184, New Zealand",0.0,0.0,,Ariel Tudor,Proposal
RS19630,St Johns - Medical Centre - 29 York St Russell,"29 York Street, Russell, 0202, New Zealand",-35.260456,174.122223,,Matthew Hargood,Proposal
RS19629,Delete,"34 Breton Drive, Waipu, Waipu, 0510, New Zealand",-35.98028,174.445847,,Matthew Hargood,Not proceeding
RS19628,Andy Cooney - 13 Moana View,"13 Moana View, Raumanga, Whangārei, 0110, New Zealand",-35.745166,174.294632,,Matthew Hargood,Active
RS19627,Easy Build - 119 Webb Rd,"119 Webb Road, Helena Bay, Helena Bay, 0184, New Zealand",-35.43912,174.362274,,Matthew Hargood,Proposal
RS19626,Grant Davis - 7 Clark Mcconachy Place,"7 Clark Mcconachy Place, Raumanga, Whangārei, 0110, New Zealand",-35.756668,174.3093,,Matthew Hargood,Proposal
RS19625,Signature Homes - 58 Bream Bay Drive,"58 Bream Bay Drive, Ruakākā, Ruakākā, 0116, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19624,Signature Homes - 70 Reotahi Road,"70 Reotahi Road, Whangārei Heads, Whangārei Heads, 0174, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19623,"Pear Tree Farms Ltd (Reyburn & Bryant) - 29 Whittle Road, Springfield","29 Whittle Road, Springfield, Springfield, 0178, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19622,Julie and Trevor Lewis - 6 Breton Drive,"6 Breton Drive, Waipu, 0510, New Zealand",-35.97955,174.447968,,Codie Hay,Active
RS19621,Arco Group - Riverview School (new classroom),"23 Riverview Road, Kerikeri, 0230, New Zealand",-35.2077,173.969238,,Codie Hay,Active
RS19620,Fowler Homes - 114 Barbados Way,"114 Barbados Way, One Tree Point, One Tree Point, 0118, New Zealand",-35.82599,174.454147,,David Platt,Active
RS19619,He Puna Marama Leadership Academy - 40-46 Herekino St,"40 Herekino Street, Whangārei, Whangārei, 0110, New Zealand",-35.7288,174.330124,,Rachel Wright,Proposal
RS19618,Signature Homes - JV Build - 82 Stace Hopper Dr,"82 Stace Hopper Drive, One Tree Point, One Tree Point, 0118, New Zealand",-35.834945,174.459915,,Harry Lee,Proposal
RS19617,Signature Homes - McMillian - 84 Stace Hopper Dr,"84 Stace Hopper Drive, One Tree Point, One Tree Point, 0118, New Zealand",-35.834945,174.459915,,Harry Lee,Proposal
RS19616,Catherine Lourme - 118A Golf Harbour Drive Maunu,"118A Golf Harbour Drive, Maunu, Whangārei, 0179, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19615,Tanya Blong - 70a West View Cres Onerahi,"70a West View Cres Onerahi, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19614,Gill - Lot 3 415 Crane Road,"415 Crane Road, Kauri, Kauri, 0185, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19613,Coleman - 1941 Tangowahine Valley Road,"1941 Tangowahine Valley Road, Tangowahine, Tangowahine, 0372, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19612,Shade Systems - Te Kapehu Whetu School - Tarewa Road,"Tarewa Road, Whangārei, 0110, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19611,Homestead Trust (Reyburn & Bryant) - 322 Apotu Road,"322 Apotu Road, Kauri, Kauri, 0185, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19610,Asher Tauri - 341 Tokiri Road Titoki,"341 Tokiri Road, Titoki, Titoki, 0172, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19609,McQuinn - 825 Whareora Road,"825 Whareora Road, Whangārei, Whangārei, 0175, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19608,Jonathan van Ameringen - 11 Kiteone Rd,"11 Kiteone Road, Parua Bay, Parua Bay, 0174, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19607,Coleman Shed - Gibbs Rd,"Gibbs Road, Whakapara, Whakapara, 0182, New Zealand",-35.51171,174.25177,,Matthew Hargood,Unsuccessful
RS19606,Ash - 35A Valley Road,"35A Valley Road, Hikurangi, Hikurangi, 0114, New Zealand",-35.590137,174.28746,,David Platt,Proposal
RS19605,Generation Homes - 488 Whananaki Road,"488 Whananaki North Road, Opuawhanga, 0181, New Zealand",-35.535076,174.318466,,Codie Hay,Active
RS19604,Ridgeland Developments Ltd - 114 Austin Road,"114 Austin Road, Maunu, Whangārei, 0110, New Zealand",-35.75247,174.26976,,Codie Hay,Active
RS19603,Leightley - 8 Pegasus Lane,"8 Pegasus Lane, Waipu, Waipu, 0582, New Zealand",-36.039035,174.521591,,David Platt,Active
RS19602,Minchin-Hoelzl - 564C Ngunguru Road,"564C Ngunguru Road, Glenbervie, Glenbervie, 0173, New Zealand",-35.66046,174.385056,,David Platt,Proposal
RS19601,Signature Homes - 121 Tauraroa Road,"121 Tauraroa Road, Maungakaramea, Maungakaramea, 0178, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19600,Reyburn and Bryant (Manaia View Farms) - Blue Horizon Road (RS18192),"Blue Horizon Road, Whangārei Heads, Whangārei Heads, 0174, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19599,"Jason and Samaria Pearson - 153 Kara Road, Maungatapere","153 Kara Road, Maungatapere, Maungatapere, 0179, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19598,"Advance Build - Access Road, Kerikeri","72 Access Road, Kerikeri, Kerikeri, 0230, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19597,I & A Ferguson - 27 Mcauslin Rd,"27 Mcauslin Road, Matapouri, Matapouri, 0173, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19596,Larkin - 5 Kapowai Place,"5 Kapowai Place, Whangārei, Whangārei, 0185, New Zealand",-35.64652,174.2809,,David Platt,Active
RS19595,IES - 14D School Rd,"14D School Road, Pahia, New Zealand",0.0,0.0,,Liam Crawford,Proposal
RS19594,Classic Builders - 1374A Pipiwai Road,"1374A Pipiwai Road, Ruatangata West, Ruatangata West, 0176, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19593,Whangarei District Council - Urquharts Bay,"Urquharts Bay, Whangarei, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19592,"Advance Build (Kissin) - 38 Moir Point Road, Mangawhai","38 Moir Point Road, Mangawhai Heads, Mangawhai, 0505, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19591,Andrew Wade - 32-34 Herekino St,"32 Herekino Street, Whangārei, Whangārei, 0110, New Zealand",-35.7287,174.330032,,Rachel Wright,Proposal
RS19590,Classic Builders - 6 Kintrae Close Maunu,"6 Kintrae Close Maunu, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19589,Alexandra Shed - 45 Windsor Road,"45 Windsor Way, Mangawhai, Mangawhai, 0975, New Zealand",0.0,0.0,,Logan Holt,Active
RS19588,De Rooy - 1850 Pataua North Road,"1850 Pataua North Road, Pataua North, Pataua North, 0175, New Zealand",-35.704284,174.5115,,David Platt,Active
RS19587,"B and K Goh - 811 Paradise Rd, Tangiteroria","811 Paradise Road, Tangiteroria, Tangiteroria, 0381, New Zealand",0.0,0.0,,Nathan Walker,Active
RS19586,Classic Builder - 7 Te Hihi Stream Lane Maunu,"7 Te Hihi Stream Lane, Maunu, Whangarei, 0179, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19585,Ngaire Pehi - 235 Tutukaka Block Road,"235 Tutukaka Block Road, Whangarei, Whangarei, 0173, New Zealand",0.0,0.0,,Nathan Walker,Not proceeding
RS19584,"Windermere - 22 Kahikatearoa Lane, Waipapa","22 Kahikatearoa Lane, Waipapa, Waipapa, 0295, New Zealand",-35.212043,173.914932,,Rachel Wright,Active
RS19583,Signature Homes - 59 Champion Road,"59 Champion Road, Kaingaroa, Kaingaroa, 0482, New Zealand",0.0,0.0,,Nathan Walker,Active
RS19582,Darren Bowling - 72 Our Road,"72 Our Road, Whangārei Heads, Whangārei Heads, 0174, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19581,Advance Developments - Admiral Way,"Admiral Way, Tutukaka, Tutukaka, 0173, New Zealand",-35.6118,174.523636,,Matthew Hargood,Active
RS19580,Beehre - 262 Kerr Road,"262 Kerr Road, Parua Bay, Parua Bay, 0192, New Zealand",-35.782882,174.521027,,David Platt,Active
RS19579,KDC - Dargaville Refuse Transfer Centre,"Victoria Street, Dargaville, Dargaville, 0310, New Zealand",-35.93777,173.874741,,David Platt,Proposal
RS19578,"AS Architecture - 78 Waiotahi Dr, Mangawhai","78 Waiotahi Drive, Mangawhai, Mangawhai, 0573, New Zealand",0.0,0.0,,Ariel Tudor,Proposal
RS19577,R+J - Taylor - 19 Galbraith st,"19 Galbraith Street, Matapouri, Matapouri, 0173, New Zealand",-35.562297,174.504623,,Harry Lee,Proposal
RS19576,"Waitomo Papakainga - 16 Puckey Ave, Kaitaia","16 Puckey Avenue, Kaitaia, Kaitaia, 0410, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19575,Roberts - 340 Three Mile Bush Road,"340 Three Mile Bush Road, Te Kamo, Whangārei, 0185, New Zealand",-35.691394,174.266586,,David Platt,Active
RS19574,"Workman Properties - 5 Henry Going Way, Onerahi","5 Waverley Street, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19573,Versatile - 14 Arahanga Road,"14 Arahanga Road, Paparoa, Paparoa, 0571, New Zealand",-36.098556,174.229675,,David Platt,Active
RS19572,Robinson - 35 Marlin Place,"35 Marlin Place, Tutukaka, Tutukaka, 0173, New Zealand",-35.607154,174.524017,,David Platt,Active
RS19571,Signature Homes - Lot 13 Waiata Lane,"Waiata Lane, Kauri, Kauri, 0185, New Zealand",0.0,0.0,,Nathan Walker,Proposal
RS19570,Vroegrijk - 8 Earls Place,"8 Earls Place, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Logan Holt,Proposal
RS19569,"Hayden Rad - 59 Ross Street, Onerahi","59 Ross Street, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Sarah Scott,Proposal
RS19568,Scott Blampied - 571 Ngunguru Road,"571 Ngunguru Road, Glenbervie, Glenbervie, 0173, New Zealand",0.0,0.0,,Sarah Scott,Active
RS19567,Wells - 1 Pah Rd,"1 Pah Road, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Liam Crawford,Active
RS19566,Marshall - 239 Jobe Road,"239 Jobe Road, Maungakaramea, Maungakaramea, 0178, New Zealand",-35.82171,174.275,,David Platt,Active
RS19565,Bentley - Lot 2 Clearwater Road,"143 Great North Road, Te Kamo, Whangārei, 0185, New Zealand",-35.662796,174.2911,,David Platt,Active
RS19564,B and M Collinson - 70 Waitangi Road,"70 Waitangi Road, Kiripaka, Kiripaka, 0173, New Zealand",0.0,0.0,,Nathan Walker,Active
RS19563,Tansey - 1516 Mangawhai Rd,"1516 Mangawhai Road, Mangawhai, Mangawhai, 0975, New Zealand",0.0,0.0,,Logan Holt,Active
RS19562,Ashbury Heights - 58 Pompallier Estate Dr,"58 Pompallier Estate Drive, Maunu, Whangārei, 0110, New Zealand",-35.74754,174.278351,,Daniel Squires,Not proceeding
RS19561,Andy and Kathryn Caulfield - 6 Bonnie Doon - #18922,"6 Bonnie Doon Place, Whangārei, 0185, New Zealand",-35.661407,174.322525,,Codie Hay,Active
RS19560,Byron Keoghan - 637 Ormandy Road,"637 Ormandy Road, Whangārei, 0178, New Zealand",-35.84283,174.287766,,Codie Hay,Active
RS19559,Kayla Thompson - 6 Collingwood Street,"6 Collingwood Street, Raumanga, Whangārei, 0110, New Zealand",-35.74088,174.310135,,Codie Hay,Proposal
RS19558,David Crang - 66 Cable Bay Block Road,"66 Cable Bay Block Road, Cable Bay, 0420, New Zealand",-34.99891,173.499863,,Codie Hay,Active
RS19557,Bruce Paton - 2454 State Highway 1,"2454 State Highway 1, Ruakākā, 0171, New Zealand",-35.887355,174.417282,,Codie Hay,Active
RS19556,Parua Bay Community Centre Development - 1341 Whangarei Heads Road,"1341 Whangarei Heads Road, Parua Bay, 0192, New Zealand",-35.76786,174.477676,,Codie Hay,Active
RS19555,Thorn - 6 St Andrews Place,"6 Saint Andrews Place, Te Kamo, Whangārei, 0112, New Zealand",0.0,0.0,,Logan Holt,Proposal
RS19554,Cafe Utopia Veranda - 1955 State Hway 1 Kaiwaka,"1955 State Highway 1, Kaiwaka, Kaiwaka, 0573, New Zealand",0.0,0.0,,Logan Holt,Active
RS19553,"Andrea & Stephen Purvis - Akerama Road, Hūkerenui","Akerama Road, Hūkerenui, Hūkerenui, 0182, New Zealand",0.0,0.0,,David Platt,Active
RS19552,NOT IN USE,"9 Saint Marys Place, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Matthew Jacobson,Proposal
RS19551,Hikurangi BNZ Building - 7 King Street HIKURANGI,"7 King Street, Hikurangi, Hikurangi, 0114, New Zealand",-35.600097,174.287216,,Rachel Wright,Proposal
RS19550,Darby - 16 Porowini Ave,"16 Porowini Avenue, Morningside, Whangārei, 0110, New Zealand",-35.730625,174.317963,,Matthew Hargood,Unsuccessful
RS19549,Gayleen & Bruce Guy - 33 Dolphin Place Ref#18541,"33 Dolphin Place, Tutukaka, 0173, New Zealand",-35.62863,174.537918,,Codie Hay,Construction
RS19548,Graham - 1536 Ngunguru Road,"1536 Ngunguru Road, Ngunguru, Ngunguru, 0173, New Zealand",-35.637714,174.46785,,David Platt,Active
RS19547,Audrey and Paul Bancroft - 6 Oyster Lane,"6 Oyster Lane, Parua Bay, 0174, New Zealand",-35.774498,174.482086,,Codie Hay,Active
RS19546,Phillipa Judge - 98 Pigs Head Road,"98 Pigs Head Road, Whakapara, 0184, New Zealand",-35.524776,174.302826,,Codie Hay,Active
RS19545,"David Bond - 6148 & 6162 State Highway 12, Dargaville (RS18634)",New Zealand,0.0,0.0,,Sarah Scott,Active
RS19544,Roman Doecke - 37 Cockburn Street Onerahi,"37 Cockburn Street, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Sarah Scott,Active
RS18639,Juan Robertson - 482 Kara Road,"482 Kara Road, Whangārei, Whangārei, 0179, New Zealand",-35.7077,174.202881,,Matthew Hargood,Proposal
RS19542,R+J - Lecky - 560 Three Mile Bush Rd,"560 Three Mile Bush Road, Te Kamo, Whangārei, New Zealand, Te Kamo, Whangārei, 0185, New Zealand",-35.6908,174.242462,,Harry Lee,Proposal
RS19541,Kauria Ruakaka - 597 Port Marsden Highway,"597 Port Marsden Highway, Ruakākā, Ruakākā, 0171, New Zealand",0.0,0.0,,Matthew Jacobson,Proposal
RS19540,"Kamo Home and Village - Saint Marys Place, Onerahi","Saint Marys Place, Onerahi, Whangārei, 0110, New Zealand",0.0,0.0,,Matthew Jacobson,Proposal
RS19539,Cotter - 15 Whareora Road,"15 Whareora Road, Kensington, Whangārei, 0112, New Zealand",-35.701625,174.328629,,Matthew Hargood,Active
RS19538,"BA & JK Paton Ltd - 430 Oneriri Road, Kaiwaka","430 Oneriri Road, Kaiwaka, Kaiwaka, 0573, New Zealand",0.0,0.0,,Matthew Jacobson,Proposal
RS19537,Green - 20D Ewing Road,"20D Ewing Road, Riverside, Whangārei, 0112, New Zealand",-35.72068,174.327728,,David Platt,Active
RS19536,Donaldson - 69 Brook Lane,"69 Brooke Lane, Mangawhai, Mangawhai, 0573, New Zealand",0.0,0.0,,Logan Holt,Active
RS19535,LM Consulting - Kaitaia College,"Redan Road, Kaitaia, Kaitaia, 0410, New Zealand",0.0,0.0,,Matthew Jacobson,Proposal
RS19534,"WDC (Reyburn and Bryant) - 6 Pearce Road, Whangarei","9 Pearce Drive, Te Kamo, Whangārei, 0112, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19533,Winchcombe - Lot 6 271 Kerikeri Inlet Road,"271 Kerikeri Inlet Road, Kerikeri, Kerikeri, 0230, New Zealand",0.0,0.0,,Sarah Scott,Not proceeding
RS19532,"Lloyd - 113 Te Rongo Road, Parua Bay","113 Te Rongo Road, Parua Bay, Parua Bay, 0174, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19531,Galbraith - 4 Mill Lane,"4 Mill Lane, Kerikeri, Kerikeri, 0230, New Zealand",-35.232883,173.953476,,David Platt,Not proceeding
RS19530,"Advance Build - Otamatea Marae - 97 Tanoa Rd, Otamatea","97 Tanoa Road, Maungaturoto, Maungaturoto, 0583, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS19529,GJ Gardner - 50 Second Avenue - Van Beek - Stage 2,"50 Second Avenue, Whangārei, 0110, New Zealand",-35.72804,174.312073,,Codie Hay,Active
RS19528,Hardley - 37 Cheviot Street,"37 Cheviot Street, Mangawhai Heads, Mangawhai, 0505, New Zealand",-36.104606,174.592834,,Liam Crawford,Active
RS19527,Johnson - 96 Walton St,"96 Walton Street, Whangārei, Whangārei, 0110, New Zealand",-35.72579,174.323334,,Liam Crawford,Active
RS19526,Architects H+K - Kaiwaka Primary School,"33 Kaiwaka Mangawhai Road, Kaiwaka, Kaiwaka, 0975, New Zealand",-36.159786,174.447083,,Liam Crawford,Active
RS19525,WDC  Whangarei Library - 5 Rust Ave,"5 Rust Avenue, Whangārei, 0110, New Zealand",-35.724197,174.31752,,Matthew Hargood,Proposal
RS19524,McKay Stadium - 97 Western Hills Dr,"97 Western Hills Drive, Kensington, Whangārei, 0112, New Zealand",-35.70804,174.312729,,Harry Lee,Proposal
RS19523,"Four Right Ltd (Jeremy Waldegrave) - 3688 SH14, Tangiteroria","3688 State Highway 14, Tangiteroria, Tangiteroria, 0381, New Zealand",0.0,0.0,,Matthew Jacobson,Active
RS18425,West - 3 Whangaumu Street,"3 Whangaumu Street, Tutukaka, Tutukaka, 0173, New Zealand",-35.633804,174.524673,,David Platt,Active
RS19521,"Fowler Homes - Burgoyne - 16 Mangakaretu Road, Waipapa","16 Mangakaretu Road, Waipapa, Waipapa, 0295, New Zealand",-35.23715,173.878922,,David Platt,Active
RS19520,Northcott - 582 Barrier View Road,"582 Barrier View Road, Mangawhai, Mangawhai, 0573, New Zealand",0.0,0.0,,Logan Holt,Active
RS19519,Hogg - 260B Awaroa River Road,"260B Awaroa River Road, Abbey Caves, Whangārei, 0110, New Zealand",-35.726242,174.3713,,David Platt,Active
RS19518,"Mandeno Design -13B Cross Street, Whangarei","13B Cross Street, Regent, Whangārei, 0112, New Zealand",0.0,0.0,,Matthew Jacobson,Proposal
RS19517,Te Rangi - 75 & 77 Old North Road,"75 Old North Road, Whakapara, Whakapara, 0182, New Zealand",-35.541866,174.275467,,Codie Hay,Active
RS19516,Mike Hanvey - 10 Chilcott Road,"10 Chilcott Road, Whananaki, Whananaki, 0181, New Zealand",-35.50665,174.461456,,Matthew Jacobson,Active
RS19515,Xudong Liu -58 Raumanga Valley Road,"58 Raumanga Valley Road, Raumanga, Whangārei, 0110, New Zealand",-35.73986,174.304138,,Matthew Jacobson,Proposal
